age_min_months,age_max_months,mean_mm,sd_mm,lower_mm,upper_mm
1,3,64,10.4,40,90
4,6,73,9.8,45,95
7,9,79,10.0,60,100
12,30,85,11.8,65,105
36,59,86,11.4,65,115
60,83,100,11.8,70,125
84,107,105,12.5,75,130
108,131,110,12.5,75,135
132,155,115,13.0,85,140
156,179,118,14.6,85,140
180,200,121,11.7,90,145
