age_min_months,age_max_months,mean_mm,sd_mm,lower_mm,upper_mm
1,3,50,5.8,35,65
4,6,53,5.3,40,70
7,9,59,5.2,45,70
12,30,61,3.4,50,75
36,59,67,5.1,55,80
60,83,74,5.5,60,85
84,107,80,6.6,65,95
108,131,84,7.0,65,100
132,155,89,6.2,70,105
156,179,94,5.9,75,110
180,200,92,7.0,75,110
